,breed,fur,fur_color,image,life_expectancy,description
96,Lakeland terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Lakeland_Terrier.jpg/220px-Lakeland_Terrier.jpg,14,Lakeland terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
97,Leonberger,Długie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Leonberger.jpg/220px-Leonberger.jpg,9,Leonberger to duży pies, znany ze swojej imponującej wielkości i przyjaznego charakteru. Pochodzi z Niemiec.
98,Lhasa apso,Średnie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Lhasa_Apso.jpg/220px-Lhasa_Apso.jpg,14,Lhasa apso to mały pies, znany ze swojej długiej sierści i eleganckiego wyglądu. Pochodzi z Tybetu.
99,Lowchen,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Lowchen.jpg/220px-Lowchen.jpg,14,Lowchen to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Francji.
100,Maltese,Długie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Maltese.jpg/220px-Maltese.jpg,14,Maltese to mały pies, znany ze swojej długiej, białej sierści i eleganckiego wyglądu. Pochodzi z Malty.
101,Manchester terrier,Krótkie,Czarny i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Manchester_Terrier.jpg/220px-Manchester_Terrier.jpg,14,Manchester terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
102,Mastiff,Krótkie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Mastiff.jpg/220px-Mastiff.jpg,10,Mastiff to duży pies stróżujący, znany ze swojej siły i imponującej wielkości. Pochodzi z Wielkiej Brytanii.
103,Sznaucer miniaturowy,Średnie,Czarny i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Miniature_Schnauzer.jpg/220px-Miniature_Schnauzer.jpg,14,Sznaucer miniaturowy to mały pies, znany ze swojej energii i przyjaznego charakteru. Pochodzi z Niemiec.
104,Mastif neapolitański,Krótkie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/52/Neapolitan_Mastiff.jpg/220px-Neapolitan_Mastiff.jpg,10,Mastif neapolitański to duży pies stróżujący, znany ze swojej siły i imponującej wielkości. Pochodzi z Włoch.
105,Nowofundland,Długie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Newfoundland.jpg/220px-Newfoundland.jpg,10,Nowofundland to duży pies, znany ze swojej siły i zdolności do pracy w wodzie. Pochodzi z Kanady.
106,Norfolk terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Norfolk_Terrier.jpg/220px-Norfolk_Terrier.jpg,14,Norfolk terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
107,Norwegian buhund,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Norwegian_Buhund.jpg/220px-Norwegian_Buhund.jpg,14,Norwegian buhund to średniej wielkości pies pasterski, znany ze swojej wytrzymałości i zdolności do pracy w trudnych warunkach. Pochodzi z Norwegii.
108,Elkhund norweski,Średnie,Szary,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Norwegian_Elkhound.jpg/220px-Norwegian_Elkhound.jpg,12,Elkhund norweski to średniej wielkości pies myśliwski, znany ze swojej zdolności do polowania na łosie. Pochodzi z Norwegii.
109,Norwegian lundehund,Średnie,Rudy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Norwegian_Lundehund.jpg/220px-Norwegian_Lundehund.jpg,12,Norwegian lundehund to mały pies, znany ze swojej zdolności do wspinaczki i polowania na ptaki. Pochodzi z Norwegii.
110,Norwich terrier,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Norwich_Terrier.jpg/220px-Norwich_Terrier.jpg,14,Norwich terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
111,Nova Scotia duck tolling retriever,Średnie,Rudy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Nova_Scotia_Duck_Tolling_Retriever.jpg/220px-Nova_Scotia_Duck_Tolling_Retriever.jpg,12,Nova Scotia duck tolling retriever to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Kanady.
112,Owczarek staroangielski,Długie,Biały i szary,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Old_English_Sheepdog.jpg/220px-Old_English_Sheepdog.jpg,11,Owczarek staroangielski to duży pies pasterski, znany ze swojej wytrzymałości i zdolności do pracy w trudnych warunkach. Pochodzi z Wielkiej Brytanii.
113,Otterhound,Długie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Otterhound.jpg/220px-Otterhound.jpg,10,Otterhound to duży pies myśliwski, znany ze swojej zdolności do polowania na wydry. Pochodzi z Wielkiej Brytanii.
114,Papillon,Średnie,Biały i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Papillon.jpg/220px-Papillon.jpg,14,Papillon to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Francji.
115,Parson Russell terrier,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Parson_Russell_Terrier.jpg/220px-Parson_Russell_Terrier.jpg,13,Parson Russell terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
116,Pekińczyk,Średnie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pekingese.jpg/220px-Pekingese.jpg,12,Pekińczyk to mały pies, znany ze swojej przyjaznej osobowości i eleganckiego wyglądu. Pochodzi z Chin.
117,Pembroke welsh corgi,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pembroke_Welsh_Corgi.jpg/220px-Pembroke_Welsh_Corgi.jpg,12,Pembroke welsh corgi to mały pies pasterski, znany ze swojej inteligencji i krótkich nóg. Pochodzi z Walii.
118,Petit basset griffon vendeen,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Petit_Basset_Griffon_Vendeen.jpg/220px-Petit_Basset_Griffon_Vendeen.jpg,14,Petit basset griffon vendeen to mały pies myśliwski, znany ze swojej energii i zdolności do polowania na zające. Pochodzi z Francji.
119,Chart faraona,Krótkie,Brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pharaoh_Hound.jpg/220px-Pharaoh_Hound.jpg,12,Chart faraona to elegancki pies myśliwski, znany ze swojej szybkości i zdolności do polowania na króliki. Pochodzi z Malty.
120,Plott,Średnie,Brązowy i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Plott_Hound.jpg/220px-Plott_Hound.jpg,12,Plott to średniej wielkości pies myśliwski, znany ze swojej zdolności do polowania na dziki. Pochodzi z USA.
121,Pointer,Krótkie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pointer.jpg/220px-Pointer.jpg,13,Pointer to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy w polu. Pochodzi z Wielkiej Brytanii.
122,Pomeranian,Średnie,Rudy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Pomeranian.jpg/220px-Pomeranian.jpg,14,Pomeranian to mały pies, znany ze swojej energii i puszystego futra. Pochodzi z Niemiec.
123,Pudel,Średnie,Biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Poodle.jpg/220px-Poodle.jpg,12,Pudel to wszechstronny pies, znany ze swojej inteligencji i zdolności do pracy w wodzie. Pochodzi z Niemiec.
124,Portugalski pies wodny,Średnie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Portuguese_Water_Dog.jpg/220px-Portuguese_Water_Dog.jpg,12,Portugalski pies wodny to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Portugalii.
125,Saint Bernard,Długie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Saint_Bernard.jpg/220px-Saint_Bernard.jpg,10,Saint Bernard to duży pies ratowniczy, znany ze swojej siły i zdolności do pracy w trudnych warunkach. Pochodzi ze Szwajcarii.
126,Silky terrier,Średnie,Brązowy i biały,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Silky_Terrier.jpg/220px-Silky_Terrier.jpg,14,Silky terrier to mały pies, znany ze swojej energii i eleganckiego wyglądu. Pochodzi z Australii.
127,Smooth fox terrier,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Smooth_Fox_Terrier.jpg/220px-Smooth_Fox_Terrier.jpg,12,Smooth fox terrier to mały pies, znany ze swojej energii i zdolności do polowania na gryzonie. Pochodzi z Wielkiej Brytanii.
128,Mastif tybetański,Długie,Rudy i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Tibetan_Mastiff.jpg/220px-Tibetan_Mastiff.jpg,10,Mastif tybetański to duży pies stróżujący, znany ze swojej siły i imponującej wielkości. Pochodzi z Tybetu.
129,Springer spaniel walijski,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Welsh_Springer_Spaniel.jpg/220px-Welsh_Springer_Spaniel.jpg,13,Springer spaniel walijski to mały pies myśliwski, znany ze swojej energii i zdolności do pracy w trudnych warunkach. Pochodzi z Walii.
130,Griffon wyżłowy szorstkowłosy,Średnie,Biały i brązowy,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Wirehaired_Pointing_Griffon.jpg/220px-Wirehaired_Pointing_Griffon.jpg,12,Griffon wyżłowy szorstkowłosy to wszechstronny pies myśliwski, znany ze swojej zdolności do pracy zarówno na lądzie, jak i w wodzie. Pochodzi z Francji.
131,Xoloitzcuintli,Krótkie,Czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Xoloitzcuintli.jpg/220px-Xoloitzcuintli.jpg,14,Xoloitzcuintli to starożytna rasa psa, znana ze swojej nagiej skóry i spokojnego charakteru. Pochodzi z Meksyku.
132,Yorkshire terrier,Średnie,Brązowy i czarny,https://upload.wikimedia.org/wikipedia/commons/thumb/5/57/Yorkshire_Terrier.jpg/220px-Yorkshire_Terrier.jpg,14,Yorkshire terrier to mały pies, znany ze swojej energii i eleganckiego wyglądu. Pochodzi z Wielkiej Brytanii.
